"codigo_modelo;""codigo_marca"";""codigo_fipe"";""modelo"";""tipo""",
"1;""1"";""038003-2"";""Integra GS 1.8"";""1""",
"2;""1"";""038002-4"";""Legend 3.2/3.5"";""1""",
"3;""1"";""038001-6"";""NSX 3.0"";""1""",
"4;""2"";""060001-6"";""MARRUÁ 2.8 12V 132cv TDI Diesel"";""1""",
"5;""3"";""006009-7"";""145 Elegant 1.7/1.8 16V"";""1""",
"6;""3"";""006001-1"";""145 Elegant 2.0 16V"";""1""",
"7;""3"";""006002-0"";""145 Quadrifoglio 2.0"";""1""",
"8;""3"";""006008-9"";""145 QV"";""1""",
"9;""3"";""006017-8"";""147 2.0 16V 148cv 4p Semi-Aut."";""1""",
"10;""3"";""006003-8"";""155"";""1""",
"11;""3"";""006004-6"";""155 Super"";""1""",
"12;""3"";""006015-1"";""156 2.5 V6 24V 190cv 4p Aut."";""1""",
"13;""3"";""006014-3"";""156 Sport Wagon 2.0 16V"";""1""",
"14;""3"";""006016-0"";""156 Sport Wagon 2.5 V6 24V 4p Aut."";""1""",
"15;""3"";""006010-0"";""156 TS/Sport/Elegant 2.0 16V"";""1""",
"16;""3"";""006005-4"";""164 3.0 V6"";""1""",
"17;""3"";""006006-2"";""164 Super V6 24V"";""1""",
"18;""3"";""006011-9"";""166 3.0 V6 24V"";""1""",
"19;""3"";""006013-5"";""2300 TI/TI-4"";""1""",
"20;""3"";""006007-0"";""Spider 2.0/3.0"";""1""",
"21;""4"";""037001-0"";""Hummer Hard-Top 6.5 4x4 Diesel TB"";""1""",
"22;""4"";""037002-9"";""Hummer Open-Top 6.5 4x4 Diesel TB"";""1""",
"23;""4"";""037003-7"";""Hummer Wagon 6.5 4x4 Diesel TB"";""1""",
"24;""5"";""007018-1"";""AM-825 Luxo 4.0 Diesel"";""1""",
"25;""5"";""007019-0"";""AM-825 Super Luxo 4.0 Diesel"";""1""",
"26;""5"";""007001-7"";""Hi-Topic SLX/SDX/DLX Full Diesel"";""1""",
"27;""5"";""007002-5"";""Hi-Topic STD Diesel"";""1""",
"28;""5"";""007017-3"";""Hi-Topic Van 2.7 Diesel (furgão)"";""1""",
"29;""5"";""007020-3"";""Jipe Rocsta GT 4x4 2.2 Diesel"";""1""",
"30;""5"";""007016-5"";""Topic Carga 2.7 Diesel (furgão)"";""1""",
"31;""5"";""007014-9"";""Topic Luxo Diesel"";""1""",
"32;""5"";""007015-7"";""Topic Super Luxo Diesel"";""1""",
"33;""5"";""007003-3"";""Towner Coach Full"";""1""",
"34;""5"";""007009-2"";""Towner Furgão"";""1""",
"35;""5"";""007004-1"";""Towner Glass Van"";""1""",
"36;""5"";""007012-2"";""Towner Luxo"";""1""",
"37;""5"";""007011-4"";""Towner Multiuso 5p"";""1""",
"38;""5"";""007005-0"";""Towner Panel Van"";""1""",
"39;""5"";""007008-4"";""Towner Pick-Up"";""1""",
"40;""5"";""007006-8"";""Towner SDX / DLX/ STD"";""1""",
"41;""5"";""007013-0"";""Towner Super Luxo"";""1""",
"42;""5"";""007007-6"";""Towner Truck"";""1""",
"43;""6"";""008030-6"";""100 2.8 V6"";""1""",
"44;""6"";""008076-4"";""100 2.8 V6 Avant"";""1""",
"45;""6"";""008031-4"";""100 S-4 2.2 Avant Turbo"";""1""",
"46;""6"";""008001-2"";""80 2.0"";""1""",
"47;""6"";""008077-2"";""80 2.0 Avant"";""1""",
"48;""6"";""008080-2"";""80 2.6/ 2.8"";""1""",
