id,codigo_marca,marca,tipo
1,1,Acura,1
2,2,Agrale,1
3,3,Alfa Romeo,1
4,4,AM Gen,1
5,5,Asia Motors,1
6,189,ASTON MARTIN,1
7,6,Audi,1
8,207,Baby,1
9,7,BMW,1
10,8,BRM,1
11,123,Bugre,1
12,10,Cadillac,1
13,11,CBT Jipe,1
14,136,CHANA,1
15,182,CHANGAN,1
16,161,CHERY,1
17,12,Chrysler,1
18,13,Citroën,1
19,14,Cross Lander,1
20,15,Daewoo,1
21,16,Daihatsu,1
22,17,Dodge,1
23,147,EFFA,1
24,18,Engesa,1
25,19,Envemo,1
26,20,Ferrari,1
27,21,Fiat,1
28,149,Fibravan,1
29,22,Ford,1
30,190,FOTON,1
31,170,Fyber,1
32,199,GEELY,1
33,23,GM - Chevrolet,1
34,153,GREAT WALL,1
35,24,Gurgel,1
36,152,HAFEI,1
37,25,Honda,1
38,26,Hyundai,1
39,27,Isuzu,1
40,208,IVECO,1
41,177,JAC,1
42,28,Jaguar,1
43,29,Jeep,1
44,154,JINBEI,1
45,30,JPX,1
46,31,Kia Motors,1
47,32,Lada,1
48,171,LAMBORGHINI,1
49,33,Land Rover,1
50,34,Lexus,1
51,168,LIFAN,1
52,127,LOBINI,1
53,35,Lotus,1
54,140,Mahindra,1
55,36,Maserati,1
56,37,Matra,1
57,38,Mazda,1
58,39,Mercedes-Benz,1
59,40,Mercury,1
60,167,MG,1
61,156,MINI,1
62,41,Mitsubishi,1
63,42,Miura,1
64,43,Nissan,1
65,44,Peugeot,1
66,45,Plymouth,1
67,46,Pontiac,1
68,47,Porsche,1
69,185,RAM,1
70,186,RELY,1
71,48,Renault,1
72,195,Rolls-Royce,1
73,49,Rover,1
74,50,Saab,1
75,51,Saturn,1
76,52,Seat,1
77,183,SHINERAY,1
78,157,smart,1
79,125,SSANGYONG,1
80,54,Subaru,1
81,55,Suzuki,1
82,165,TAC,1
83,56,Toyota,1
84,57,Troller,1
85,58,Volvo,1
86,59,VW - VolksWagen,1
87,163,Wake,1
88,120,Walk,1
